n_estimators,max_depth,min_samples_leaf,train_accuracy_t1,train_accuracy_t2,train_accuracy,valid_accuracy_t1,valid_accuracy_t2,valid_accuracy
16,20,10,0.973,0.973,0.946,0.635,0.624,0.426
16,30,2,0.998,0.998,0.997,0.655,0.592,0.407
16,30,4,0.994,0.995,0.989,0.634,0.64,0.43
16,30,6,0.988,0.987,0.975,0.626,0.62,0.403
16,30,8,0.979,0.982,0.961,0.601,0.573,0.382
16,30,10,0.973,0.976,0.949,0.628,0.629,0.415
16,40,2,0.998,0.998,0.997,0.655,0.592,0.407
16,40,4,0.994,0.995,0.989,0.634,0.64,0.43
16,40,6,0.987,0.986,0.974,0.63,0.628,0.411
16,40,8,0.979,0.982,0.961,0.601,0.573,0.382
16,40,10,0.973,0.976,0.949,0.628,0.629,0.415
16,50,2,0.998,0.998,0.997,0.655,0.592,0.407
16,50,4,0.994,0.995,0.989,0.634,0.64,0.43
16,50,6,0.987,0.986,0.974,0.63,0.628,0.411
16,50,8,0.979,0.982,0.961,0.601,0.573,0.382
16,50,10,0.973,0.976,0.949,0.628,0.629,0.415
16,60,2,0.998,0.998,0.997,0.655,0.592,0.407
16,60,4,0.994,0.995,0.989,0.634,0.64,0.43
16,60,6,0.987,0.986,0.974,0.63,0.628,0.411
16,60,8,0.979,0.982,0.961,0.601,0.573,0.382
16,60,10,0.973,0.976,0.949,0.628,0.629,0.415
16,70,2,0.998,0.998,0.997,0.655,0.592,0.407
16,70,4,0.994,0.995,0.989,0.634,0.64,0.43
16,70,6,0.987,0.986,0.974,0.63,0.628,0.411
16,70,8,0.979,0.982,0.961,0.601,0.573,0.382
16,70,10,0.973,0.976,0.949,0.628,0.629,0.415
16,80,2,0.998,0.998,0.997,0.655,0.592,0.407
16,80,4,0.994,0.995,0.989,0.634,0.64,0.43
16,80,6,0.987,0.986,0.974,0.63,0.628,0.411
16,80,8,0.979,0.982,0.961,0.601,0.573,0.382
16,80,10,0.973,0.976,0.949,0.628,0.629,0.415
16,90,2,0.998,0.998,0.997,0.655,0.592,0.407
16,90,4,0.994,0.995,0.989,0.634,0.64,0.43
16,90,6,0.987,0.986,0.974,0.63,0.628,0.411
16,90,8,0.979,0.982,0.961,0.601,0.573,0.382
16,90,10,0.973,0.976,0.949,0.628,0.629,0.415
16,100,2,0.998,0.998,0.997,0.655,0.592,0.407
16,100,4,0.994,0.995,0.989,0.634,0.64,0.43
16,100,6,0.987,0.986,0.974,0.63,0.628,0.411
16,100,8,0.979,0.982,0.961,0.601,0.573,0.382
16,100,10,0.973,0.976,0.949,0.628,0.629,0.415
32,10,2,0.961,0.963,0.927,0.671,0.642,0.461
32,10,4,0.947,0.951,0.901,0.657,0.648,0.444
32,10,6,0.947,0.948,0.898,0.671,0.623,0.441
32,10,8,0.944,0.943,0.89,0.677,0.637,0.46
32,10,10,0.933,0.927,0.865,0.67,0.636,0.448
32,20,2,1.0,1.0,0.999,0.643,0.626,0.429
32,20,4,0.997,0.997,0.993,0.637,0.633,0.422
32,20,6,0.992,0.992,0.983,0.641,0.629,0.421
32,20,8,0.986,0.986,0.971,0.619,0.597,0.4
32,20,10,0.979,0.98,0.96,0.664,0.638,0.447
32,30,2,0.999,1.0,0.999,0.672,0.613,0.433
32,30,4,0.996,0.997,0.993,0.649,0.651,0.451
32,30,6,0.991,0.992,0.983,0.647,0.639,0.435
32,30,8,0.985,0.987,0.972,0.637,0.613,0.424
32,30,10,0.978,0.983,0.962,0.649,0.641,0.439
32,40,2,1.0,1.0,0.999,0.667,0.621,0.432
32,40,4,0.996,0.997,0.993,0.649,0.651,0.451
32,40,6,0.991,0.992,0.984,0.645,0.643,0.435
32,40,8,0.985,0.987,0.972,0.637,0.613,0.424
32,40,10,0.978,0.983,0.962,0.649,0.641,0.439
32,50,2,1.0,1.0,0.999,0.666,0.621,0.432
32,50,4,0.996,0.997,0.993,0.649,0.651,0.451
32,50,6,0.991,0.992,0.984,0.645,0.643,0.435
32,50,8,0.985,0.987,0.972,0.637,0.613,0.424
32,50,10,0.978,0.983,0.962,0.649,0.641,0.439
32,60,2,1.0,1.0,0.999,0.666,0.621,0.432
32,60,4,0.996,0.997,0.993,0.649,0.651,0.451
32,60,6,0.991,0.992,0.984,0.645,0.643,0.435
32,60,8,0.985,0.987,0.972,0.637,0.613,0.424
32,60,10,0.978,0.983,0.962,0.649,0.641,0.439
32,70,2,1.0,1.0,0.999,0.666,0.621,0.432
32,70,4,0.996,0.997,0.993,0.649,0.651,0.451
32,70,6,0.991,0.992,0.984,0.645,0.643,0.435
32,70,8,0.985,0.987,0.972,0.637,0.613,0.424
32,70,10,0.978,0.983,0.962,0.649,0.641,0.439
32,80,2,1.0,1.0,0.999,0.666,0.621,0.432
32,80,4,0.996,0.997,0.993,0.649,0.651,0.451
32,80,6,0.991,0.992,0.984,0.645,0.643,0.435
32,80,8,0.985,0.987,0.972,0.637,0.613,0.424
32,80,10,0.978,0.983,0.962,0.649,0.641,0.439
32,90,2,1.0,1.0,0.999,0.666,0.621,0.432
32,90,4,0.996,0.997,0.993,0.649,0.651,0.451
32,90,6,0.991,0.992,0.984,0.645,0.643,0.435
32,90,8,0.985,0.987,0.972,0.637,0.613,0.424
32,90,10,0.978,0.983,0.962,0.649,0.641,0.439
32,100,2,1.0,1.0,0.999,0.666,0.621,0.432
32,100,4,0.996,0.997,0.993,0.649,0.651,0.451
32,100,6,0.991,0.992,0.984,0.645,0.643,0.435
